# x y vx vy angle CPind time
10353 7014 0 0 161 0 0
10164 6949 -160 -55 161 0 1
9815 6829 -296 -102 161 0 2
9391 6650 -360 -152 149 0 3
8896 6435 -421 -183 155 0 4
8281 6208 -523 -193 167 0 5
7577 5931 -598 -235 155 0 6
6900 5636 -576 -250 143 0 7
6153 5283 -635 -300 149 0 8
5324 4939 -705 -293 167 0 9
4420 4643 -769 -252 179 0 10
3552 4390 -738 -215 179 0 11
2814 4175 -627 -182 167 1 12
2187 3993 -532 -154 179 1 13
1608 3823 -492 -144 161 1 14
1116 3679 -418 -122 143 1 15
698 3557 -355 -103 125 1 16
343 3454 -301 -87 107 1 17
28 3320 -268 -114 107 1 18
-240 3206 -227 -96 95 1 19
-467 3110 -192 -81 83 1 20
-636 2932 -144 -151 77 1 21
-780 2781 -122 -128 59 1 22
-867 2617 -74 -139 47 1 23
-767 2382 85 -200 29 1 24
-682 2182 72 -170 11 1 25
-511 2025 145 -134 353 1 26
-231 1955 238 -60 335 1 27
80 1963 264 6 317 1 28
430 2091 297 109 305 1 29
766 2292 285 170 293 1 30
1109 2600 292 261 293 1 31
1487 2983 321 326 305 1 32
1886 3493 339 433 293 1 33
2249 3969 308 405 299 1 34
2615 4512 311 461 293 1 35
3057 5123 375 520 311 1 36
3591 5763 454 544 323 2 37
4234 6372 546 517 341 2 38
4929 6891 591 441 359 2 39
5569 7327 544 371 5 2 40
6162 7688 504 307 11 2 41
6857 7936 590 211 17 2 42
7569 8060 605 106 35 2 43
8294 8007 616 -45 53 2 44
9030 7803 625 -174 53 2 45
9655 7629 531 -147 59 2 46
10186 7482 451 -124 71 3 47
10681 7164 421 -271 77 3 48
11103 6794 359 -315 89 3 49
11464 6330 307 -395 89 3 50
11732 5739 228 -502 101 3 51
11911 5150 152 -501 119 3 52
11976 4527 56 -530 125 3 53
11923 3895 -45 -537 137 3 54
11743 3295 -153 -510 155 3 55
11396 2741 -295 -471 167 3 56
11052 2275 -293 -396 185 3 57
10759 1879 -249 -336 185 3 58
10326 1622 -368 -219 203 3 59
9762 1442 -479 -153 191 3 60
9152 1362 -518 -68 209 3 61
8532 1403 -527 35 227 3 62
7855 1569 -576 141 221 3 63
7148 1782 -601 181 209 3 64
6547 1963 -510 153 221 3 65
5887 2247 -561 241 221 3 66
5236 2607 -553 306 233 3 67
4651 3007 -497 340 251 3 68
4154 3347 -422 289 269 3 69
3742 3685 -350 287 281 3 70
3441 4059 -256 318 299 3 71
3214 4417 -193 305 305 4 72
3087 4797 -108 323 311 4 73
3138 5240 43 376 323 4 74
3266 5667 109 363 329 5 75
3494 6120 194 385 323 5 76
3829 6553 285 368 341 5 77
4156 6946 278 334 329 5 78
4575 7328 356 325 341 5 79
4931 7653 302 276 359 5 80
5282 7929 299 235 359 5 81
5728 8135 379 175 11 5 82
6298 8251 484 99 17 5 83
6825 8325 448 63 29 5 84
7404 8316 492 -8 29 5 85
8046 8177 546 -118 41 5 86
8617 8017 485 -136 59 5 87
9134 7787 439 -195 71 5 88
9591 7444 388 -292 83 5 89
9959 7054 313 -331 101 6 90
10262 6674 257 -323 101 6 91
10519 6351 218 -274 119 6 92
10590 5941 60 -348 137 6 93
10469 5509 -103 -367 155 6 94
10220 5109 -211 -340 167 6 95
9828 4685 -333 -360 155 6 96
9306 4260 -443 -361 161 6 97
8714 3897 -504 -309 179 6 98
8011 3606 -597 -247 185 6 99
7319 3389 -588 -185 197 6 100
6600 3277 -611 -95 209 6 101
5876 3280 -615 2 221 6 102
5210 3367 -566 74 239 6 103
4614 3480 -506 96 233 6 104
4092 3623 -443 121 251 6 105
3649 3793 -377 145 269 6 106
3311 4134 -288 290 281 7 107
3072 4511 -203 320 299 7 108
2943 4899 -110 329 317 7 109
2924 5270 -16 315 335 7 110
3056 5603 112 283 353 7 111
3366 5910 263 261 353 8 112
3828 6174 393 224 359 8 113
4420 6380 503 175 5 8 114
5119 6516 594 116 11 8 115
5912 6614 674 83 5 8 116
6784 6721 741 91 353 8 117
7724 6794 799 62 5 8 118
8721 6880 847 73 353 8 119
